Date,Policy Rate
01-01-2000,0.02
01-02-2000,0.05
01-03-2000,0.04
01-04-2000,0.02
01-05-2000,0.03
01-06-2000,0.03
01-07-2000,0.02
01-08-2000,0.25
01-09-2000,0.28
01-10-2000,0.25
01-11-2000,0.26
01-12-2000,0.2
01-01-2001,0.25
01-02-2001,0.26
01-03-2001,0.12
01-04-2001,0.02
01-05-2001,0.03
01-06-2001,0.06
01-07-2001,0.02
01-08-2001,0.01
01-09-2001,0.003
01-10-2001,0.003
01-11-2001,0.003
01-12-2001,0.002
01-01-2002,0.001
01-02-2002,0.001
01-03-2002,0.012
01-04-2002,0.002
01-05-2002,0.002
01-06-2002,0.002
01-07-2002,0.001
01-08-2002,0.002
01-09-2002,0.067
01-10-2002,0.002
01-11-2002,0.002
01-12-2002,0.002
01-01-2003,0.001
01-02-2003,0.001
01-03-2003,0.021
01-04-2003,0.002
01-05-2003,0.002
01-06-2003,0.001
01-07-2003,0.002
01-08-2003,0.001
01-09-2003,0.013
01-10-2003,0.002
01-11-2003,0.001
01-12-2003,0.001
01-01-2004,0.001
01-02-2004,0.001
01-03-2004,0.005
01-04-2004,0.001
01-05-2004,0.002
01-06-2004,0.002
01-07-2004,0.001
01-08-2004,0.001
01-09-2004,0.005
01-10-2004,0.002
01-11-2004,0.001
01-12-2004,0.002
01-01-2005,0.001
01-02-2005,0.001
01-03-2005,0.022
01-04-2005,0.001
01-05-2005,0.002
01-06-2005,0.001
01-07-2005,0.001
01-08-2005,0.001
01-09-2005,0.004
01-10-2005,0
01-11-2005,0.001
01-12-2005,0.004
01-01-2006,0.001
01-02-2006,0.002
01-03-2006,0.004
01-04-2006,0.006
01-05-2006,0.021
01-06-2006,0.027
01-07-2006,0.267
01-08-2006,0.266
01-09-2006,0.339
01-10-2006,0.256
01-11-2006,0.271
01-12-2006,0.275
01-01-2007,0.282
01-02-2007,0.589
01-03-2007,0.715
01-04-2007,0.539
01-05-2007,0.544
01-06-2007,0.605
01-07-2007,0.516
01-08-2007,0.498
01-09-2007,0.675
01-10-2007,0.524
01-11-2007,0.52
01-12-2007,0.459
